| Feature type |  Description | Selected properties |Description  |
 | | | 11539 Varetransport lørdag periode 2 fra kl (test) | |
 | | | 11540 Varetransport lørdag periode 2 til kl (test) | |
 | | | 9313 Kjøring til eiendommene tillatt | |
 | | | 9318 Varetransport lørdag fra | |
 | | | 9319 Varetransport lørdag til | |
 | | | 9322 Geometri, hjelpelinje | |
 | [591 Høydebegrensning](https://datakatalogen.vegdata.no/591) | | |  |
| | | 5277 Skilta høyde | |
 | | | 5270 Type hinder | |
 | | | 10247 Beregnet høyde | |
 | | | 5778 Navn | |
 | | | 5285 Merknad | |
 | | | 3846 Bredde | |
 | | | 3868 H-min, høyre kant | |
 | | | 3869 H-min, midt | |
 | | | 3870 H-min, venstre kant | |
 | | | 9490 Målemetode | |
 | | | 9489 Måledato | |
 | | | 11149 Prosjektreferanse | |
 | | | 6924 Geometri, linje | |
 | [100 Jernbanekryssing](https://datakatalogen.vegdata.no/100) | | |  |
| | | 1153 Type | |
 | | | 11576 Tilleggsinformasjon | |
 | | | 4799 Geometri, punkt | |
 | [319 Kolonnestrekning](https://datakatalogen.vegdata.no/319) | | |  |
| | | 1916 Kolonne antall | |
 | | | 2072 Kolonne fart | |
 | | | 2096 Kolonne antall timer | |
 | | | 11602 Tilleggsinformasjon | |
 | | | 11471 Prosjektreferanse | |
 | [44 Kontroll-/veieplass](https://datakatalogen.vegdata.no/44) | | |  |
| | | 1077 Navn | |
 | | | 1117 Veiing | |
 | | | 1360 Areal | |
 | | | 4522 Antall oppstillingsplasser, lange | |
 | | | 9556 Vinterdriftsklasse | |
 | | | 10319 Etableringsår | |
 | | | 11564 Tilleggsinformasjon | |
 | | | 11050 Prosjektreferanse | |
 | | | 7991 Eier | |
 | | | 8055 Vedlikeholdsansvarlig | |
 | | | 4751 Geometri, punkt | |
 | | | 8932 Geometri, linje | |
 | | | 10963 Geometri, flate | |
 | [639 Kurvatur, horisontalelement](https://datakatalogen.vegdata.no/639) | | |  |
| | | 5842 Type | |
 | | | 5827 Radius | |
 | | | 5829 Klotoideparameter | |
 | | | 9961 Beregningsinfo | |
 | | | 6898 Geometri, hjelpelinje | |
 | [825 Kurvatur, stigning](https://datakatalogen.vegdata.no/825) | | |  |
| | | 9396 Stigning | |
 | | | 9962 Beregningsinfo | |
 | [640 Kurvatur, vertikalelement](https://datakatalogen.vegdata.no/640) | | |  |
| | | 5843 Type | |
 | | | 5830 Radius | |
 | | | 5831 Høyde start | |
 | | | 5832 Høyde slutt | |
 | | | 5833 Stigning, start | |
 | | | 5834 Stigning, slutt | |
 | | | 9963 Beregningsinfo | |
 | | | 6899 Geometri, hjelpelinje | |
 | [595 Motorveg](https://datakatalogen.vegdata.no/595) | | |  |
| | | 5378 Motorvegtype | |
 | | | 5376 Vedtaksnummer | |
 | | | 9485 Arkivnummer | |
 | | | 6908 Geometri, hjelpelinje | |
 | [886 Omkjøringsrute](https://datakatalogen.vegdata.no/886) | | |  |
| | | 10700 Strekningsnavn | |
 | | | 10704 Retning | |
 | | | 10797 Omkjøring for veg | |
 | | | 10702 Nivå | |
 | | | 10703 Merknad | |
 | | | 10763 Økt kjørelengde | |
 | | | 10767 Økt kjøretid | |
 | | | 10764 Kjøretøykategori | |
 | [39 Rasteplass](https://datakatalogen.vegdata.no/39) | | |  |
| | | 1074 Navn | |
 | | | 2036 Type | |
 | | | 1805 Antall oppstillingspl. små kjt. | |
 | | | 1816 Antall oppstillingspl. store kjt. | |
